index,name,address,city,zip,phone,email,full_address,website,OT,ST,PT,DT,EI,ABA,CBT,Pharmacotherapy,DialecticalBehavioralTherapy,SocialSkillsGroup,InHomeTherapy,OnSiteTherapy,School,Grades,ISBE,Tutoring,Ages,Insurance,Diagnosis,Arts,Dentist,AdultTransitional,Employment,AdultLiving,Business,Sibling,Other,lng,lat,coords
23,Wellington Counseling Group,1011 W. Wellington Ave Suite 210,Chicago,60527,312-384-1940,info@wellingtoncounselinggroup.com,"1011 W. Wellington Ave Suite 210 Chicago, IL 60527",http://wellingtoncounselinggroup.com/,N,N,N,N,N,N,n,n,n,n,N,Y,N,,,N,ALL AGES,Y,y,n,n,n,N,N,n,,,-87.65430309999999,41.9361095,"(41.9361095, -87.65430309999999)"
24,Wellington Counseling Group,7101 N. Cicero Ave. Ste. 203,Chicago,60712,312-384-1940,info@wellingtoncounselinggroup.com,"7101 N. Cicero Ave. Ste. 203 Chicago, IL 60712",http://wellingtoncounselinggroup.com/,N,N,N,N,N,N,n,n,n,n,N,Y,N,,,N,ALL AGES,Y,y,n,n,n,N,N,n,,,-87.7476233,42.0103446,"(42.0103446, -87.7476233)"
25,Wellington Counseling Group,666 Dundee Rd. Ste. 708,Northbrook,60062,847.595.0940,info@wellingtoncounselinggroup.com,"666 Dundee Rd. Ste. 708 Northbrook, IL 60062",http://wellingtoncounselinggroup.com/,N,N,N,N,N,N,n,n,n,n,N,Y,N,,,N,ALL AGES,Y,y,n,n,n,N,N,n,,,-87.7978138,42.1398527,"(42.1398527, -87.7978138)"
26,Jewish Child & Family Services,3145 W Pratt,Chicago,60645,855.275.5237,ask@jcfs.org,"3145 W Pratt Chicago, IL 60645",http://jcfs.org/programs-services/testing-and-assessment/autism-assessment,N,N,N,N,N,N,n,n,n,n,N,Y,Y,pre-k-12,Y,n,all ages,y,y,n,n,n,N,N,n,,,-87.7088715,42.0038134,"(42.0038134, -87.7088715)"
27,Easter Seals,1939 W. 13th St. Ste. 300,Chicago,60608,630.282.2022,academychicago@eastersealschicago.org,"1939 W. 13th St. Ste. 300 Chicago, IL 60608",http://www.easterseals.com/chicago/,N,N,N,N,N,N,n,n,n,n,N,Y,y,pre-k-12,,n,all ages,y,y,n,n,y,N,N,n,,,-87.6747949,41.8646679,"(41.8646679, -87.6747949)"
28,Easter Seals Gilchrist Marchman Child Development Center,1312 S. Racine Ave.,Chicago,60608,312.492.7402,aomalley@eastersealschicago.org,"1312 S. Racine Ave. Chicago, IL 60608",http://www.easterseals.com/chicago/our-programs/childrens-services/GM-Child-Development-Center.html,N,N,N,N,N,N,n,n,n,n,N,Y,y,Pre-k,,n,6 mos-5 years,N,N,N,N,N,N,N,N,,,-87.6577277,41.8649039,"(41.8649039, -87.6577277)"
29,Easter Seals,17300 Ozark Ave.,Tinley Park,60477,708.802.9050,academytinley@easterseals.org,"17300 Ozark Ave. Tinley Park, IL 60477",http://www.easterseals.com/chicago/,N,N,N,N,N,N,n,n,n,n,N,Y,y,pre-k-12,,n,all ages,y,y,n,n,y,N,N,n,,,-87.8069682,41.5775093,"(41.5775093, -87.8069682)"
30,UIC Autism Clinic and TAP Training Center,1640 W. Roosevelt Rd.,Chiacgo,60608,312.413.1490,jagorski@uic.edu (emailed 4/15/18),"1640 W. Roosevelt Rd. Chiacgo, IL 60608",http://www.ahs.uic.edu/cl/familyclinics/programs/autismclinicandtaptrainingcenter/,N,N,N,N,N,N,,,,,N,Y,n,,,n,,,Y,N,N,N,N,N,N,,,-87.6675434,41.8669748,"(41.8669748, -87.6675434)"
31,Rush University AARTS Center,"1645 W Jackson, Suite 603",Chicago,60612,888.352.7874,,"1645 W Jackson, Suite 603 Chicago, IL 60612",https://www.rush.edu/services-conditions/autism-assessment-research-treatment-and-services-center/about-aarts-center-rush,Y,Y,N,N,N,N,n,y,n,n,N,Y,N,,,N,all ages,,Y,N,N,N,N,N,N,,,-87.6684002,41.8772572,"(41.8772572, -87.6684002)"
32,Jennifer Gorski,1011 Lake St. Suite 406,Oak Park,60301,773.904.0425,jgorskiphd@gmail.com,"1011 Lake St. Suite 406 Oak Park, IL 60301",http://www.drjennifergorski.com/,n,N,N,N,N,N,N,n,n,n,N,Y,N,,,N,0-100YRS,N,Y,N,N,N,N,N,N,,N,-87.80111579999999,41.8884731,"(41.8884731, -87.80111579999999)"
33,Loyola University,2160 S. First Ave,Maywood,60153,708.216.0135,,"2160 S. First Ave Maywood, IL 60153",http://www.stritch.luc.edu/depts/psych/specialties/adolescent_and_childrens_psychiatry.htm,N,N,N,N,N,N,N,y,n,n,N,Y,N,n/A,,N,0-18 YRS,Y,Y,N,N,N,N,N,N,,N,-87.8360955,41.8576097,"(41.8576097, -87.8360955)"
34,Little Friends Center for Autism,140 N Wright Street,Naperville,60540,630.305.4196,info@lilfriends.com,"140 N Wright Street Naperville, IL 60540",http://littlefriendsinc.org/,N,Y,N,N,N,Y,N,N,N,Y,Y,Y,Y,K-12,Y,N,ALL AGES,Y,Y,N,N,y,Y,Y,N,,N,-88.1386321,41.77683,"(41.77683, -88.1386321)"
35,Caravel Autism Health,770 Lake Cook Rd. Ste 230,Deerfield,60015,844.583.5437,info@caravelautism.com,"770 Lake Cook Rd. Ste 230 Deerfield, IL 60015",http://caravelautism.com/,N,N,N,N,N,Y,n,n,n,n,n,y,N,,,N,0-18,Y,y,n,n,n,N,N,n,,,-87.84634229999999,42.1533703,"(42.1533703, -87.84634229999999)"
36,Caravel Autism Health,"1979 Mill St., Ste. 204",Naperville,60563,844.583.5437,info@caravelautism.com,"1979 Mill St., Ste. 204 Naperville, IL 60563",http://caravelautism.com/,n,n,n,n,n,y,n,n,n,n,n,y,n,,,n,0-18,y,y,n,n,n,N,N,n,,n,-88.1565076,41.8034905,"(41.8034905, -88.1565076)"
37,Caravel Autism Health,"1111 Plaza Dr., Ste. 580",Schaumburg,60173,844.583.5437,info@caravelautism.com,"1111 Plaza Dr., Ste. 580 Schaumburg, IL 60173",http://caravelautism.com/,n,n,n,n,n,y,n,n,n,n,n,y,n,,,n,0-18,y,y,n,n,n,N,N,n,,n,-88.04249829999999,42.04894460000001,"(42.04894460000001, -88.04249829999999)"
38,Early Intervention for Autism,?,northshore area,?,847.915.0164,jenniferm@earlyinterventionforautism.com,"? northshore area, IL ?",http://www.earlyinterventionforautism.com/,N,N,N,N,N,Y,n,n,n,y,Y,N,N,,,N,0-18,Y,n,n,n,n,N,N,n,,,-88.3614753,42.24002309999999,"(42.24002309999999, -88.3614753)"
39,Labyrinth Counseling & Consulting Center,1770 Park St. Ste. 109,Naperville,60563,630.305.5702,renee.carson16@gmail.com,"1770 Park St. Ste. 109 Naperville, IL 60563",http://www.labyrinthcounseling.com/behavioranalysts.php,N,N,N,N,N,Y,n,n,n,n,y,n,N,,,N,all ages,Y,n,n,n,n,N,N,n,,,-88.14785049999999,41.8009228,"(41.8009228, -88.14785049999999)"
40,Monarch Autism Therapy Services,3611 Indian Head Ln.,Joliet,60435,815.630.2220,,"3611 Indian Head Ln. Joliet, IL 60435",http://www.monarchats.com/home.html,N,Y,N,N,N,Y,N,N,N,N,Y,N,N,,,N,ALL AGES,Y,N,N,N,N,N,N,N,,,-88.15656589999999,41.5883857,"(41.5883857, -88.15656589999999)"
41,Reach ABA,?,Chicago,?,773.609.4076,admin@reachaba.com,"? Chicago, IL ?",http://www.reachaba.com/,N,N,N,N,N,Y,N,N,N,Y,Y,N,N,,,N,,Y,N,N,N,N,N,N,N,,,-87.6297982,41.8781136,"(41.8781136, -87.6297982)"
42,Center for Behavior Intervention,19056 Henry Dr.,Mokena,60448,708.995.5751,info@cbitherapy.com,"19056 Henry Dr. Mokena, IL 60448",http://www.cbitherapy.com/index.html,N,N,N,N,N,Y,n,n,n,n,Y,Y,N,,,N,ALL AGES,Y,N,N,N,N,N,N,N,,,-87.84679469999999,41.5438348,"(41.5438348, -87.84679469999999)"
43,Steinberg Behavior Solutions,4711 Golf Rd. Ste. 100,Skokie,60076,847.676.5398,sarah@sbsaba.com,"4711 Golf Rd. Ste. 100 Skokie, IL 60076",http://www.steinbergbehaviorsolutions.com/,N,N,N,N,N,Y,n,n,n,n,Y,Y,N,,,N,"all ages, but focus on pediatrics",Y,N,N,N,N,N,N,N,,,-87.74383379999999,42.0540798,"(42.0540798, -87.74383379999999)"
44,Trumpet Behavioral Health,3851 W. Devon Ave.,Chicago,60659,872.208.7893,info@tbh.com,"3851 W. Devon Ave. Chicago, IL 60659",http://www.tbh.com/,N,N,N,N,Y,Y,n,n,n,n,Y,Y,N,,,N,0-18,Y,N,N,N,N,N,N,N,,,-87.7259498,41.9970044,"(41.9970044, -87.7259498)"
45,Trumpet Behavioral Health,28045 N Ashley Cir. Ste. 201,Libertyville,60048,630.225.8604,info@tbh.com,"28045 N Ashley Cir. Ste. 201 Libertyville, IL 60048",http://www.tbh.com/,N,N,N,N,Y,Y,n,n,n,n,Y,Y,N,,,N,0-18,Y,N,N,N,N,N,N,N,,,-87.9090389,42.2701655,"(42.2701655, -87.9090389)"
46,Helping Hand Center,9469 W. 55th St.,Countryside,60525,708.352.3580,info@hhcenter.org,"9469 W. 55th St. Countryside, IL 60525",http://www.hhrehab.org/index.html,Y,Y,Y,N,Y,N,n,n,n,y,n,Y,Y,,Y,N,3-22,Y,n,y,n,y,y,y,n,,Music Therapy,-87.8596389,41.7901418,"(41.7901418, -87.8596389)"
47,By Your Side,"16W361 S. Frontage Rd, Suite 131",Burr Ridge,60527,630.590.5571,info@byyoursideac.com,"16W361 S. Frontage Rd, Suite 131 Burr Ridge, IL 60527",http://byyoursideac.com/,Y,Y,N,N,N,Y,n,n,n,y,Y,Y,N,pre-k,,N,3 yrs and up,y,n,n,n,n,N,N,n,,"Social Groups, feeding therapy, family counseling",-87.94214819999999,41.73891800000001,"(41.73891800000001, -87.94214819999999)"
48,By Your Side,1920 Thoreau Dr. N #180,Schaumburg,60173,847.496.5513,info@byyoursideac.com,"1920 Thoreau Dr. N #180 Schaumburg, IL 60173",http://byyoursideac.com/,Y,Y,N,N,N,Y,n,n,n,y,Y,Y,y,pre-k,,N,3 yrs and up,y,n,n,n,n,N,N,n,,"Social Groups, feeding therapy, family counseling",-88.04249829999999,42.0634765,"(42.0634765, -88.04249829999999)"
49,By Your Side,"8145 River Drive, Ste. 101",Morton Grove,60053,224.470.1111,info@byyoursideac.com,"8145 River Drive, Ste. 101 Morton Grove, IL 60053",http://byyoursideac.com/,Y,Y,N,N,N,Y,n,n,n,y,Y,Y,y,pre-k,,N,3 yrs and up,,n,n,n,n,N,N,n,,"Social Groups, feeding therapy, family counseling",-87.7844803,42.0291926,"(42.0291926, -87.7844803)"
50,By Your Side,8200 W. 185th St. Ste A/B,Tinley Park,60487,708.580.0440,info@byyoursideac.com,"8200 W. 185th St. Ste A/B Tinley Park, IL 60487",http://byyoursideac.com/,Y,Y,N,N,N,Y,n,n,n,y,Y,Y,y,pre-k,,N,3 yrs and up,,n,n,n,n,N,N,n,,"Social Groups, feeding therapy, family counseling",-87.81889699999999,41.5548295,"(41.5548295, -87.81889699999999)"
51,Rachel Loftin,"180 N Michigan Ave., Suite 2411",Chicago,60601,(312) 730-4798,rachelloftinphd@gmail.com,"180 N Michigan Ave., Suite 2411 Chicago, IL 60601",https://www.rachelloftin.com/,N,N,N,N,N,N,Y,n,n,n,N,Y,N,,,N,all ages,n,y,n,n,n,N,N,n,,,-87.6249282,41.8855541,"(41.8855541, -87.6249282)"
52,Advanced Behavioral Solutions,2060 E Algonquin Rd Ste 720,Schaumburg,60173,847-496-4693,help@advancedbehavioralsolutions.com,"2060 E Algonquin Rd Ste 720 Schaumburg, IL 60173",http://www.advancedbehavioralsolutions.com/index.html,N,N,N,N,N,N,N,n,n,Y,N,Y,N,,,N,3+,y,y,n,n,n,N,N,n,,,-88.0295067,42.0661918,"(42.0661918, -88.0295067)"
53,Alexian Brothers Behavioral Health Hospital,1555 Barrington Road,Hoffman Estates,Alexian Brothers Behavioral Health Hospital,847-981-3630,NeurosciencesInstitute@AMITAhealth.org,"1555 Barrington Road Hoffman Estates, IL Alexian Brothers Behavioral Health Hospital",http://www.alexianbrothershealth.org/neurosciences/services/neuropsychological/pediatrics/,N,N,N,N,N,N,N,N,N,N,N,Y,N,,,n,All ages,Y,y,N,N,N,N,N,N,,,-88.13741379999999,42.05405680000001,"(42.05405680000001, -88.13741379999999)"
54,"Michael S Appleby, PhD",211 W Chicago Ave Ste 211,Hinsdale ,60521,630-323-0211,Info@DrAppleby.com,"211 W Chicago Ave Ste 211 Hinsdale , IL 60521",http://www.drappleby.com/,N,N,N,N,N,N,N,N,N,N,N,Y,N,,,N,0-18,Y,Y,N,N,N,N,N,N,,,-87.9329441,41.8038917,"(41.8038917, -87.9329441)"
55,BrainTree Neuropsychological Services,"1101 Lake St., Ste 306",Oak Park,60301,(708) 445-3771,monastepansky@braintreeservices.com,"1101 Lake St., Ste 306 Oak Park, IL 60301",http://www.braintreeservices.com/,N,N,N,N,N,N,N,N,N,N,N,Y,N,,,N,0-21,Y,Y,N,N,N,N,N,N,,,-87.8026635,41.8885251,"(41.8885251, -87.8026635)"
56,Chicago Neurodevelopmental Center,601 Skokie Blvd. Ste. 203,Northbrook,60062,847.272.2484,avictor@chicagoneuro.org,"601 Skokie Blvd. Ste. 203 Northbrook, IL 60062",http://chicagoneurodevelopmentalcenter.org/,N,N,N,N,N,N,Y,N,N,N,N,Y,N,,,N,0-18,N,Y,N,N,N,N,N,N,,,-87.7932871,42.1413575,"(42.1413575, -87.7932871)"
57,Chicago Neurodevelopmental Center,3166 N. Lincoln Ave. Ste 400B,Chicago,60657,847.272.2484,avictor@chicagoneuro.org,"3166 N. Lincoln Ave. Ste 400B Chicago, IL 60657",http://chicagoneurodevelopmentalcenter.org/,N,N,N,N,N,N,Y,N,N,N,N,Y,N,,,N,0-18,N,Y,N,N,N,N,N,N,,,-87.6682584,41.9391562,"(41.9391562, -87.6682584)"
58,Comprehensive Psychological Services,3233 N. Arlington Heights Rd. Ste. 208,Arlington Heights,60004,847.632.0334,mfrey@psych4kids.com,"3233 N. Arlington Heights Rd. Ste. 208 Arlington Heights, IL 60004",https://psych4kids.com/,N,N,N,N,N,N,Y,N,N,N,N,Y,N,,,N,0-18,N,Y,N,N,N,N,N,N,,,-87.98073629999999,42.1336227,"(42.1336227, -87.98073629999999)"
59,Edgewood Clinical Services,600 E. Diehl Rd. Ste. 110,Naperville,60563,630.428.7890,info@edgewoodclinicalservices.com,"600 E. Diehl Rd. Ste. 110 Naperville, IL 60563",http://www.edgewoodclinicalservices.com/,N,N,N,N,N,N,N,N,N,Y,N,Y,N,,,N,0-18,N,Y,N,N,N,N,N,N,,,-88.13738219999999,41.8026236,"(41.8026236, -88.13738219999999)"
60,Edgewood Clinical Services,2498 Artesian Rd. Ste. 112,Naperville,60564,630.428.7890,info@edgewoodclinicalservices.com,"2498 Artesian Rd. Ste. 112 Naperville, IL 60564",http://www.edgewoodclinicalservices.com/,N,N,N,N,N,N,N,Y,N,Y,N,Y,N,,,N,0-18,N,Y,N,N,N,N,N,N,,,-88.20380759999999,41.7252141,"(41.7252141, -88.20380759999999)"
61,Edgewood Clinical Services,14722 S. Naperville Rd. Ste. 100,Plainfield,60544,630.428.7890,info@edgewoodclinicalservices.com,"14722 S. Naperville Rd. Ste. 100 Plainfield, IL 60544",http://www.edgewoodclinicalservices.com/,N,N,N,N,N,N,N,N,N,Y,N,Y,N,,,N,0-18,N,Y,N,N,N,N,N,N,,,-88.20129779999999,41.615303,"(41.615303, -88.20129779999999)"
62,Edgewood Clinical Services,"1500 Eisenhower Lane, Ste. 900",Lisle,60532,630.428.7890,info@edgewoodclinicalservices.com,"1500 Eisenhower Lane, Ste. 900 Lisle, IL 60532",http://www.edgewoodclinicalservices.com/,N,N,N,N,N,N,N,N,N,Y,N,Y,N,,,N,0-18,N,Y,N,N,N,N,N,N,,,-88.0816121,41.7866882,"(41.7866882, -88.0816121)"
63,Pediatric Neuropsychology Diagnostic and Treatment Center,16001 S. 108th Ave. Ste. 2,Orland Park,60467,708.403.9000,ndcbrain@aol.com,"16001 S. 108th Ave. Ste. 2 Orland Park, IL 60467",http://www.ndcbrain.com/index.html,N,N,N,N,N,N,N,N,N,N,N,Y,N,,,N,0-21,Y,Y,N,N,N,N,N,N,,,-87.8808267,41.59848150000001,"(41.59848150000001, -87.8808267)"
64,Build-n-Care Therapy,?,Chicago,?,312.429.4920,info@buildncare.com,"? Chicago, IL ?",http://buildncare.com/,N,Y,N,N,N,Y,n,N,N,N,y,n,n,,n/A,n,0-21 ,Y,N,N,N,N,N,N,N,,,-87.6297982,41.8781136,"(41.8781136, -87.6297982)"
65,KGH Consultation & Treatment,3100 Dundee Rd. Ste. 704,Northbrook,60062,847.498.5437,info@kghconsultation.org,"3100 Dundee Rd. Ste. 704 Northbrook, IL 60062",kghconsultation.org,Y,Y,N,N,N,Y,N,N,N,Y,Y,Y,N,,,Y,0-22,Y,N,N,N,Y,N,N,N,,,-87.8557044,42.1391931,"(42.1391931, -87.8557044)"
66,Arlington Pediatric Therapy,"3105 N. Wilke Rd, Ste. H",Arlington Heights,60004,847.255.8690,APTLTD@ix.netcom.com,"3105 N. Wilke Rd, Ste. H Arlington Heights, IL 60004",http://www.arlingtonpediatrictherapy.com/,Y,Y,Y,Y,N,N,N,N,N,N,N,Y,N,,,N,0-25,Y,N,Y,N,N,N,N,N,,Aquatic therapy,-88.0036417,42.1329054,"(42.1329054, -88.0036417)"
67,Aspire Kids,1815 S. Wolf Rd.,Hillside,60162,708.236.0979,info@aspirechicago.com,"1815 S. Wolf Rd. Hillside, IL 60162",https://www.aspirechicago.com/,Y,Y,Y,Y,Y,N,N,N,N,N,y,y,N,,,N,0-18,Y,N,N,N,N,N,N,N,,,-87.9007611,41.8522115,"(41.8522115, -87.9007611)"
68,Aspire Kids,3235 W. Montrose Ave.,Chicago,60618,773.878.7868,info@aspirechicago.com,"3235 W. Montrose Ave. Chicago, IL 60618",https://www.aspirechicago.com/,Y,Y,Y,Y,Y,N,N,N,N,N,y,y,N,,,N,0-18,Y,N,N,N,N,N,N,N,,,-87.70966059999999,41.96093399999999,"(41.96093399999999, -87.70966059999999)"
